insee_com;territoire;;;
64010;Amikuze;;;
64018;Amikuze;;;
64019;Amikuze;;;
64034;Amikuze;;;
64036;Amikuze;;;
64049;Amikuze;;;
64051;Amikuze;;;
64105;Amikuze;;;
64106;Amikuze;;;
64120;Amikuze;;;
64202;Amikuze;;;
64221;Amikuze;;;
64228;Amikuze;;;
64235;Amikuze;;;
64272;Amikuze;;;
64294;Amikuze;;;
64319;Amikuze;;;
64345;Amikuze;;;
64362;Amikuze;;;
64368;Amikuze;;;
64375;Amikuze;;;
64425;Amikuze;;;
64429;Amikuze;;;
64435;Amikuze;;;
64441;Amikuze;;;
64493;Amikuze;;;
64539;Amikuze;;;