lib;2010_n;2010_surf;2010_irri;2020_n;2020_surf;2020_irri;2020_nbio;2020_surfbio;part
total SAU  dont;571;16306,81;20,06;503;15655,6;31,87;34;874,84;0,0558803239735302
céréales;117;500,11;-999;132;752,02;0;11;53,88;0,0716470306640781
oléagineux;0;0;0;7;28,63;0;-999;-999;-999
protéagineux et légumes secs pour leur graine;-999;-999;0;-999;-999;0;-999;-999;-999
plantes à fibres et plantes industrielles diverses;0;0;0;0;0;0;0;0;
plantes à parfum, aromatiques, médicinales;3;4,51;0;-999;-999;0;0;0;0
pommes de terre;-999;-999;0;7;0,4;0;-999;-999;-999
légumes frais, plants de légumes, melons ou fraises;8;10,53;6,04;20;32,98;21;6;22,77;0,690418435415403
fourrages annuels;236;1558,91;-999;109;814,8;0;-999;-999;-999
prairies;569;14094,2;-999;501;13875,36;-999;30;777,64;0,056044671994096
fleurs et plantes ornementales;-999;-999;-999;-999;-999;-999;0;0;0
vignes;25;4,93;0;6;1,1;0;0;0;0
cultures fruitières;11;9,27;0;13;12,32;0,89;8;8,14;0,660714285714286
jachères;11;-999;;14;43,52;0;0;0;0