lib;2010_ugb;2010_n;2010_tetes;2010_bio;2020_ugb;2020_n;2020_tetes;2020_bio
total ensemble du cheptel;38776,029;700;;;35028,677;549;;26
total bovins;18477,05;550;22840;;15294,71;400;18687;3
    vaches laitières;767,05;21;529;;616,25;32;425;0
    vaches allaitantes;9364,5;535;10405;;8189,1;390;9099;
total ovins;18275,02;454;101156;;17763,26;364;102048;18
    brebis mères laitières;15003,6;379;75018;;13898,8;310;69494;15
    brebis mères allaitantes;802,74;70;4722;;645,66;75;3798;6
total caprins;193,88;17;694;;58,8;12;232;3
    chèvres;185,4;17;618;;51,9;10;173;
total équins;684,2;124;754;;740,7;87;640;8
    juments selle;16,2;6;18;;63,9;16;71;
    juments lourdes;350;55;350;;349;55;349;
total porcins;497,87;148;1329;;182,8;68;577;3
    truies;-999;-999;-999;;7,98;5;38;
total volailles;584,215;476;45412;;983,731;86;55839;3
    poules pondeuses d'œufs<br />    de consommation;102,074;440;7291;;44,198;69;3157;3
    poulets de chair et coqs;80,124;139;7284;;153,021;7;13911;0
lapines mères;63,794;105;382;;4,676;12;28;0
apiculture (nombre de ruches);;16;2185;;;12;6503;-999