echelle;categorie;type;annee;valeur;age_5
Amikuze;Age;0;2010;126;(50,55]
Amikuze;Age;0;2010;23;(65,70]
Amikuze;Age;0;2010;66;(30,35]
Amikuze;Age;0;2010;98;(35,40]
Amikuze;Age;0;2010;36;(70,Inf]
Amikuze;Age;0;2010;9;(0,25]
Amikuze;Age;0;2010;37;(25,30]
Amikuze;Age;0;2010;122;(40,45]
Amikuze;Age;0;2010;133;(45,50]
Amikuze;Age;0;2010;122;(55,60]
Amikuze;Age;0;2010;42;(60,65]
Amikuze;Age;0;2020;28;(65,70]
Amikuze;Age;0;2020;39;(30,35]
Amikuze;Age;0;2020;109;(50,55]
Amikuze;Age;0;2020;77;(40,45]
Amikuze;Age;0;2020;8;(0,25]
Amikuze;Age;0;2020;36;(25,30]
Amikuze;Age;0;2020;81;(35,40]
Amikuze;Age;0;2020;28;(70,Inf]
Amikuze;Age;0;2020;98;(45,50]
Amikuze;Age;0;2020;51;(60,65]
Amikuze;Age;0;2020;120;(55,60]
ca_du_pays_basque;Age;M;2010;100;(0,25]
ca_du_pays_basque;Age;F;2010;47;(25,30]
ca_du_pays_basque;Age;F;2010;222;(40,45]
ca_du_pays_basque;Age;F;2010;115;(60,65]
ca_du_pays_basque;Age;F;2010;81;(70,Inf]
ca_du_pays_basque;Age;M;2010;547;(50,55]
ca_du_pays_basque;Age;M;2010;80;(65,70]
ca_du_pays_basque;Age;F;2010;269;(50,55]
ca_du_pays_basque;Age;F;2010;263;(55,60]
ca_du_pays_basque;Age;M;2010;312;(30,35]
ca_du_pays_basque;Age;M;2010;461;(55,60]
ca_du_pays_basque;Age;M;2010;239;(25,30]
ca_du_pays_basque;Age;M;2010;165;(70,Inf]
ca_du_pays_basque;Age;F;2010;178;(35,40]
ca_du_pays_basque;Age;M;2010;554;(40,45]
ca_du_pays_basque;Age;M;2010;586;(45,50]
ca_du_pays_basque;Age;F;2010;264;(45,50]
ca_du_pays_basque;Age;M;2010;442;(35,40]
ca_du_pays_basque;Age;M;2010;196;(60,65]
ca_du_pays_basque;Age;F;2010;19;(0,25]
ca_du_pays_basque;Age;F;2010;94;(30,35]
ca_du_pays_basque;Age;F;2010;38;(65,70]
ca_du_pays_basque;Age;F;2020;44;(25,30]
ca_du_pays_basque;Age;M;2020;514;(55,60]
ca_du_pays_basque;Age;M;2020;128;(70,Inf]
ca_du_pays_basque;Age;F;2020;19;(0,25]
ca_du_pays_basque;Age;F;2020;147;(35,40]
ca_du_pays_basque;Age;F;2020;198;(45,50]
ca_du_pays_basque;Age;F;2020;71;(65,70]
ca_du_pays_basque;Age;M;2020;246;(30,35]
ca_du_pays_basque;Age;F;2020;133;(60,65]
ca_du_pays_basque;Age;M;2020;168;(25,30]
ca_du_pays_basque;Age;F;2020;213;(50,55]
ca_du_pays_basque;Age;M;2020;215;(60,65]
ca_du_pays_basque;Age;M;2020;135;(65,70]
ca_du_pays_basque;Age;F;2020;175;(40,45]
ca_du_pays_basque;Age;M;2020;121;(0,25]
ca_du_pays_basque;Age;M;2020;385;(40,45]
ca_du_pays_basque;Age;M;2020;514;(50,55]
ca_du_pays_basque;Age;F;2020;82;(30,35]
ca_du_pays_basque;Age;F;2020;289;(55,60]
ca_du_pays_basque;Age;M;2020;377;(35,40]
ca_du_pays_basque;Age;F;2020;75;(70,Inf]
ca_du_pays_basque;Age;M;2020;458;(45,50]
Cote Basque Adour;Age;0;2010;13;0
Cote Basque Adour;Age;0;2010;20;0
Cote Basque Adour;Age;0;2010;7;0
Cote Basque Adour;Age;0;2010;21;0
Cote Basque Adour;Age;0;2020;3;0
Cote Basque Adour;Age;0;2020;6;0
Cote Basque Adour;Age;0;2020;13;0
Cote Basque Adour;Age;0;2020;16;0
Errobi;Age;M;2010;40;(35,40]
Errobi;Age;F;2010;6;(25,30]
Errobi;Age;M;2010;9;(65,70]
Errobi;Age;F;2010;12;(70,Inf]
Errobi;Age;F;2010;8;(30,35]
Errobi;Age;F;2010;7;(65,70]
Errobi;Age;M;2010;4;(0,25]
Errobi;Age;M;2010;36;(55,60]
Errobi;Age;F;2010;12;(40,45]
Errobi;Age;M;2010;17;(25,30]
Errobi;Age;M;2010;58;(40,45]
Errobi;Age;M;2010;19;(70,Inf]
Errobi;Age;F;2010;19;(50,55]
Errobi;Age;F;2010;16;(45,50]
Errobi;Age;F;2010;19;(55,60]
Errobi;Age;M;2010;28;(60,65]
Errobi;Age;F;2010;14;(35,40]
Errobi;Age;F;2010;13;(60,65]
Errobi;Age;M;2010;18;(30,35]
Errobi;Age;M;2010;52;(45,50]
Errobi;Age;M;2010;53;(50,55]
Errobi;Age;F;2020;4;(30,35]
Errobi;Age;F;2020;7;(70,Inf]
Errobi;Age;M;2020;47;(50,55]
Errobi;Age;M;2020;19;(30,35]
Errobi;Age;F;2020;15;(40,45]
Errobi;Age;M;2020;8;(25,30]
Errobi;Age;M;2020;22;(60,65]
Errobi;Age;M;2020;25;(40,45]
Errobi;Age;M;2020;9;(70,Inf]
Errobi;Age;F;2020;14;(50,55]
Errobi;Age;F;2020;14;(55,60]
Errobi;Age;M;2020;9;(0,25]
Errobi;Age;M;2020;42;(45,50]
Errobi;Age;M;2020;9;(65,70]
Errobi;Age;F;2020;3;(25,30]
Errobi;Age;M;2020;41;(55,60]
Errobi;Age;M;2020;36;(35,40]
Errobi;Age;F;2020;13;(35,40]
Errobi;Age;F;2020;17;(45,50]
Errobi;Age;F;2020;8;(60,65]
Errobi;Age;F;2020;13;(65,70]
Garazi Baigorri;Age;M;2010;14;(70,Inf]
Garazi Baigorri;Age;M;2010;10;(65,70]
Garazi Baigorri;Age;F;2010;12;(25,30]
Garazi Baigorri;Age;F;2010;21;(30,35]
Garazi Baigorri;Age;M;2010;124;(40,45]
Garazi Baigorri;Age;M;2010;99;(55,60]
Garazi Baigorri;Age;F;2010;36;(35,40]
Garazi Baigorri;Age;F;2010;47;(40,45]
Garazi Baigorri;Age;F;2010;3;(65,70]
Garazi Baigorri;Age;F;2010;6;(70,Inf]
Garazi Baigorri;Age;M;2010;73;(30,35]
Garazi Baigorri;Age;M;2010;97;(35,40]
Garazi Baigorri;Age;F;2010;45;(55,60]
Garazi Baigorri;Age;M;2010;21;(0,25]
Garazi Baigorri;Age;M;2010;60;(25,30]
Garazi Baigorri;Age;F;2010;7;(0,25]
Garazi Baigorri;Age;F;2010;59;(50,55]
Garazi Baigorri;Age;M;2010;110;(50,55]
Garazi Baigorri;Age;F;2010;37;(45,50]
Garazi Baigorri;Age;F;2010;11;(60,65]
Garazi Baigorri;Age;M;2010;111;(45,50]
Garazi Baigorri;Age;M;2010;26;(60,65]
Garazi Baigorri;Age;M;2020;113;(50,55]
Garazi Baigorri;Age;F;2020;10;(25,30]
Garazi Baigorri;Age;F;2020;44;(45,50]
Garazi Baigorri;Age;F;2020;54;(55,60]
Garazi Baigorri;Age;F;2020;47;(50,55]
Garazi Baigorri;Age;F;2020;24;(60,65]
Garazi Baigorri;Age;M;2020;74;(35,40]
Garazi Baigorri;Age;M;2020;104;(45,50]
Garazi Baigorri;Age;M;2020;90;(55,60]
Garazi Baigorri;Age;F;2020;14;(65,70]
Garazi Baigorri;Age;M;2020;83;(40,45]
Garazi Baigorri;Age;F;2020;3;(0,25]
Garazi Baigorri;Age;F;2020;36;(35,40]
Garazi Baigorri;Age;F;2020;43;(40,45]
Garazi Baigorri;Age;M;2020;23;(25,30]
Garazi Baigorri;Age;M;2020;54;(30,35]
Garazi Baigorri;Age;M;2020;19;(65,70]
Garazi Baigorri;Age;M;2020;39;(0,25]
Garazi Baigorri;Age;M;2020;22;(70,Inf]
Garazi Baigorri;Age;F;2020;24;(30,35]
Garazi Baigorri;Age;F;2020;9;(70,Inf]
Garazi Baigorri;Age;M;2020;38;(60,65]
Iholdi Oztibarre;Age;0;2010;18;(0,25]
Iholdi Oztibarre;Age;0;2010;14;(60,65]
Iholdi Oztibarre;Age;0;2010;7;(65,70]
Iholdi Oztibarre;Age;0;2010;11;(70,Inf]
Iholdi Oztibarre;Age;0;2010;71;(35,40]
Iholdi Oztibarre;Age;0;2010;76;(50,55]
Iholdi Oztibarre;Age;0;2010;28;(25,30]
Iholdi Oztibarre;Age;0;2010;87;(45,50]
Iholdi Oztibarre;Age;0;2010;48;(55,60]
Iholdi Oztibarre;Age;0;2010;84;(40,45]
Iholdi Oztibarre;Age;0;2010;28;(30,35]
Iholdi Oztibarre;Age;0;2020;40;(25,30]
Iholdi Oztibarre;Age;0;2020;71;(45,50]
Iholdi Oztibarre;Age;0;2020;12;(70,Inf]
Iholdi Oztibarre;Age;0;2020;47;(40,45]
Iholdi Oztibarre;Age;0;2020;85;(50,55]
Iholdi Oztibarre;Age;0;2020;48;(35,40]
Iholdi Oztibarre;Age;0;2020;25;(0,25]
Iholdi Oztibarre;Age;0;2020;23;(60,65]
Iholdi Oztibarre;Age;0;2020;13;(65,70]
Iholdi Oztibarre;Age;0;2020;30;(30,35]
Iholdi Oztibarre;Age;0;2020;90;(55,60]
Nive Adour;Age;F;2010;3;0
Nive Adour;Age;F;2010;13;0
Nive Adour;Age;M;2010;24;0
Nive Adour;Age;F;2010;5;0
Nive Adour;Age;M;2010;15;0
Nive Adour;Age;M;2010;20;0
Nive Adour;Age;F;2010;10;0
Nive Adour;Age;M;2010;28;0
Nive Adour;Age;F;2020;3;0
Nive Adour;Age;M;2020;15;0
Nive Adour;Age;M;2020;31;0
Nive Adour;Age;M;2020;16;0
Nive Adour;Age;F;2020;9;0
Nive Adour;Age;F;2020;6;0
Nive Adour;Age;F;2020;5;0
Nive Adour;Age;M;2020;22;0
Pays de Bidache;Age;0;2010;55;(45,50]
Pays de Bidache;Age;0;2010;10;(65,70]
Pays de Bidache;Age;0;2010;22;(30,35]
Pays de Bidache;Age;0;2010;37;(50,55]
Pays de Bidache;Age;0;2010;47;(55,60]
Pays de Bidache;Age;0;2010;19;(70,Inf]
Pays de Bidache;Age;0;2010;6;(0,25]
Pays de Bidache;Age;0;2010;37;(40,45]
Pays de Bidache;Age;0;2010;47;(35,40]
Pays de Bidache;Age;0;2010;8;(25,30]
Pays de Bidache;Age;0;2010;21;(60,65]
Pays de Bidache;Age;0;2020;31;(40,45]
Pays de Bidache;Age;0;2020;34;(50,55]
Pays de Bidache;Age;0;2020;47;(45,50]
Pays de Bidache;Age;0;2020;20;(60,65]
Pays de Bidache;Age;0;2020;16;(30,35]
Pays de Bidache;Age;0;2020;14;(25,30]
Pays de Bidache;Age;0;2020;32;(35,40]
Pays de Bidache;Age;0;2020;15;(65,70]
Pays de Bidache;Age;0;2020;4;(0,25]
Pays de Bidache;Age;0;2020;19;(70,Inf]
Pays de Bidache;Age;0;2020;51;(55,60]
Pays d'Hasparren;Age;0;2010;40;(60,65]
Pays d'Hasparren;Age;0;2010;106;(55,60]
Pays d'Hasparren;Age;0;2010;118;(45,50]
Pays d'Hasparren;Age;0;2010;93;(50,55]
Pays d'Hasparren;Age;0;2010;13;(65,70]
Pays d'Hasparren;Age;0;2010;30;(70,Inf]
Pays d'Hasparren;Age;0;2010;32;(25,30]
Pays d'Hasparren;Age;0;2010;24;(0,25]
Pays d'Hasparren;Age;0;2010;57;(30,35]
Pays d'Hasparren;Age;0;2010;85;(35,40]
Pays d'Hasparren;Age;0;2010;88;(40,45]
Pays d'Hasparren;Age;0;2020;57;(30,35]
Pays d'Hasparren;Age;0;2020;28;(70,Inf]
Pays d'Hasparren;Age;0;2020;89;(45,50]
Pays d'Hasparren;Age;0;2020;79;(50,55]
Pays d'Hasparren;Age;0;2020;42;(60,65]
Pays d'Hasparren;Age;0;2020;30;(65,70]
Pays d'Hasparren;Age;0;2020;83;(40,45]
Pays d'Hasparren;Age;0;2020;112;(55,60]
Pays d'Hasparren;Age;0;2020;14;(0,25]
Pays d'Hasparren;Age;0;2020;24;(25,30]
Pays d'Hasparren;Age;0;2020;56;(35,40]
Soule Xiberoa;Age;0;2010;151;(50,55]
Soule Xiberoa;Age;0;2010;55;(25,30]
Soule Xiberoa;Age;0;2010;20;(0,25]
Soule Xiberoa;Age;0;2010;53;(60,65]
Soule Xiberoa;Age;0;2010;75;(30,35]
Soule Xiberoa;Age;0;2010;127;(40,45]
Soule Xiberoa;Age;0;2010;155;(45,50]
Soule Xiberoa;Age;0;2010;11;(65,70]
Soule Xiberoa;Age;0;2010;91;(35,40]
Soule Xiberoa;Age;0;2010;116;(55,60]
Soule Xiberoa;Age;0;2010;31;(70,Inf]
Soule Xiberoa;Age;0;2020;96;(35,40]
Soule Xiberoa;Age;0;2020;100;(40,45]
Soule Xiberoa;Age;0;2020;37;(25,30]
Soule Xiberoa;Age;0;2020;68;(60,65]
Soule Xiberoa;Age;0;2020;145;(55,60]
Soule Xiberoa;Age;0;2020;25;(0,25]
Soule Xiberoa;Age;0;2020;25;(65,70]
Soule Xiberoa;Age;0;2020;53;(30,35]
Soule Xiberoa;Age;0;2020;124;(50,55]
Soule Xiberoa;Age;0;2020;94;(45,50]
Soule Xiberoa;Age;0;2020;35;(70,Inf]
Sud Pays Basque;Age;0;2010;25;(25,30]
Sud Pays Basque;Age;0;2010;44;(70,Inf]
Sud Pays Basque;Age;0;2010;32;(35,40]
Sud Pays Basque;Age;0;2010;65;(45,50]
Sud Pays Basque;Age;0;2010;59;(55,60]
Sud Pays Basque;Age;0;2010;52;(40,45]
Sud Pays Basque;Age;0;2010;68;(50,55]
Sud Pays Basque;Age;0;2010;42;(60,65]
Sud Pays Basque;Age;0;2010;8;(0,25]
Sud Pays Basque;Age;0;2010;30;(30,35]
Sud Pays Basque;Age;0;2010;13;(65,70]
Sud Pays Basque;Age;0;2020;39;(35,40]
Sud Pays Basque;Age;0;2020;25;(65,70]
Sud Pays Basque;Age;0;2020;17;(70,Inf]
Sud Pays Basque;Age;0;2020;49;(50,55]
Sud Pays Basque;Age;0;2020;26;(30,35]
Sud Pays Basque;Age;0;2020;12;(25,30]
Sud Pays Basque;Age;0;2020;44;(40,45]
Sud Pays Basque;Age;0;2020;38;(45,50]
Sud Pays Basque;Age;0;2020;63;(55,60]
Sud Pays Basque;Age;0;2020;12;(0,25]
Sud Pays Basque;Age;0;2020;37;(60,65]